lambda,sigma,s1,s2,s3,sparsity_HF_block1,sparsity_HF_block2,sparsity_HF_block3,Adequacy_data_HF,meanVarCommuHFBlock1,meanVarCommuHFBlock2,meanVarCommuHFBlock3,sparsity_LF_block1,sparsity_LF_block2,sparsity_LF_block3,Adequacy_data_LF,meanVarCommuLFBlock1,meanVarCommuLFBlock2,meanVarCommuLFBlock3
0,0.5,2.23606797749979,2.9,1.4,14,0,12,0.14655555501172593,0.04187769918450986,0.014792224528681484,0.0488888888888889,14,0,12,0.14655555501172593,0.04187769918450986,0.014792224528681484,0.0488888888888889
0.5,0.5,2.23606797749979,2.9,1.4,14,0,12,0.1465462133692363,0.04187667160673189,0.014807828347166947,0.04888888888888887,14,0,12,0.14655555501172593,0.04187769918450986,0.014792224528681484,0.0488888888888889
0.9,0.5,2.23606797749979,2.9,1.4,14,0,12,0.14647188010399337,0.0418684453713516,0.014932872487216706,0.0488888888888889,14,0,12,0.14655555501172596,0.04187769918450987,0.014792224528681445,0.048888888888888885
0.9998,0.5,2.23606797749979,2.9,1.4,12,0,11,0.16879795202833664,0.04508415299750679,0.1478566098330464,0.050732760250443563,14,0,12,0.14655555501172593,0.04187769918450987,0.014792224528681449,0.04888888888888889
0,0.9,2.23606797749979,2.9,1.4,14,0,12,0.14655555501172593,0.04187769918450986,0.014792224528681484,0.0488888888888889,14,0,12,0.14655555501172593,0.04187769918450986,0.014792224528681484,0.0488888888888889
0.5,0.9,2.23606797749979,2.9,1.4,14,0,12,0.1465462133692363,0.04187667160673189,0.014807828347166947,0.04888888888888887,14,0,12,0.14655555501172593,0.04187769918450986,0.014792224528681484,0.0488888888888889
0.9,0.9,2.23606797749979,2.9,1.4,14,0,12,0.14647188010399337,0.0418684453713516,0.014932872487216706,0.0488888888888889,14,0,12,0.14655555501172596,0.04187769918450987,0.014792224528681445,0.048888888888888885
0.9998,0.9,2.23606797749979,2.9,1.4,12,0,11,0.16879795202833664,0.04508415299750679,0.1478566098330464,0.050732760250443563,14,0,12,0.14655555501172593,0.04187769918450987,0.014792224528681449,0.04888888888888889
0,0.3,2,1.5811388300841898,1.4,14,7,12,0.19374908169769056,0.04226442301911129,0.004179231460579763,0.04888888888888889,14,7,12,0.19374908169769056,0.04226442301911129,0.004179231460579763,0.04888888888888889
0.5,0.3,2,1.5811388300841898,1.4,14,7,12,0.19374466609673086,0.04226374363146448,0.00417946514161344,0.04888888888888889,14,7,12,0.19374908169769056,0.04226442301911129,0.004179231460579763,0.04888888888888889
